TEMPS SLEEP= 5000000;;;;;;;;;;;;;;;;;;;TEMPS SLEEP= 2500000;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;limit=20;;;;;limit=10;;;;;limit=200;;;
limit = 20;;;;;limit=10;;;;;limit=200;;;;limit=50;;;;;0,398405;;;;;0,398522;;;;;0,396965;;;
0,399084;;;;;0,401774;;;;;0,405241;;;;0,399678;;;;;0,397252;;;;;0,397324;;;;;0,40119;;;
0,399404;;;;;0,400488;;;;;0,398786;;;;0,399151;;;;;0,397722;;;;;0,397709;;;;;0,400633;;;
0,400439;;;;;0,400699;;;;;0,399178;;;;0,399109;;;;;0,398437;;;;;0,398316;;;;;0,398968;;;
0,3999;;;;;0,393174;;;;;0,401545;;;;0,39959;;;;;0,398531;;;;;0,400789;;;;;0,397637;;;
0,399885;;;;;0,400618;;;;;0,399679;;;;0,399172;;;;;0,398189;;;;;0,397099;;;;;0,401119;;;
0,399074;;;;;0,398987;;;;;0,398873;;;;0,398949;;;;;0,398219;;;;;0,399645;;;;;0,405405;;;
0,399759;;;;;0,39944;;;;;0,399139;;;;0,399247;;;;;0,39814;;;;;0,398498;;;;;0,401178;;;
0,399789;;;;;0,399559;;;;;0,39855;;;;0,39927;;;;;0,39824;;;;;0,397543;;;;;0,405672;;;
0,400555;;;;;0,398686;;;;;0,399603;;;;0,395619;;;;;0,395246;;;;;0,397195;;;;;0,400315;;;
0,399622;;;;;0,398438;;;;;0,399598;;;;0,397306;;;;;0,396163;;;;;0,396991;;;;;0,396812;;;
0,400562;;;;;0,398945;;;;;0,405409;;;;0,398359;;;;;0,395648;;;;;0,396885;;;;;0,402049;;;
0,40013;;;;;0,398877;;;;;0,402361;;;;0,398481;;;;;0,39505;;;;;0,39655;;;;;0,403177;;;
0,40018;;;;;0,398957;;;;;0,397961;;;;0,398924;;;;;0,395466;;;;;0,396596;;;;;0,400094;;;
0,399891;;;;;0,399143;;;;;0,401928;;;;0,394342;;;;;0,399062;;;;;0,396213;;;;;0,396468;;;
0,399533;;;;;0,400151;;;;;0,396518;;;;0,398552;;;;;0,398299;;;;;0,39858;;;;;0,398735;;;
0,400236;;;;;0,399634;;;;;0,398078;;;;0,399195;;;;;0,39439;;;;;0,399851;;;;;0,405117;;;
0,399507;;;;;0,400322;;;;;0,398917;;;;0,399758;;;;;0,395087;;;;;0,398212;;;;;0,401214;;;
0,399884;;;;;0,39939;;;;;0,399191;;;;0,399961;;;;;0,39752;;;;;0,402108;;;;;0,397288;;;
0,399512;;;;;0,398558;;;;;0,398098;;;;0,400522;;;;;0,396159;;;;;0,397793;;;;;0,401943;;;
0,399933;;;;;0,399622;;;;;0,398393;;;;0,398396;;;;;0,396135;;;;;0,397635;;;;;0,396198;;;
